name,category,source_item,source
Race Of Champions,sports,,dariusk/corpora sports
Racewalking,sports,,dariusk/corpora sports
Racketlon,sports,,dariusk/corpora sports
Racquetball,sports,,dariusk/corpora sports
Racquets,sports,,dariusk/corpora sports
Rafting,sports,,dariusk/corpora sports
Rally Raid,sports,,dariusk/corpora sports
Rallycross,sports,,dariusk/corpora sports
Rallying,sports,,dariusk/corpora sports
Real Tennis,sports,,dariusk/corpora sports
Rec Footy,sports,,dariusk/corpora sports
Red Rover,sports,,dariusk/corpora sports
Reduced Variants,sports,,dariusk/corpora sports
Regularity Rally,sports,,dariusk/corpora sports
Reining,sports,,dariusk/corpora sports
Remote Control,sports,,dariusk/corpora sports
Reversi,sports,,dariusk/corpora sports
Rhythmic Gymnastics,sports,,dariusk/corpora sports
Ribbon,sports,,dariusk/corpora sports
Ring-Goal,sports,,dariusk/corpora sports
Ringball,sports,,dariusk/corpora sports
Ringette,sports,,dariusk/corpora sports
Rink Bandy,sports,,dariusk/corpora sports
Rinkball,sports,,dariusk/corpora sports
Riverboarding,sports,,dariusk/corpora sports
Road Bicycle Racing,sports,,dariusk/corpora sports
Road Racing,sports,,dariusk/corpora sports
Road Running,sports,,dariusk/corpora sports
Robot Combat,sports,,dariusk/corpora sports
Rocball,sports,,dariusk/corpora sports
Rock Climbing,sports,,dariusk/corpora sports
Rock Fishing,sports,,dariusk/corpora sports
Rocket League,sports,,dariusk/corpora sports
Rodeo,sports,,dariusk/corpora sports
Rogaining,sports,,dariusk/corpora sports
Roller Hockey,sports,,dariusk/corpora sports
Rope Climbing,sports,,dariusk/corpora sports
Rope Jumping,sports,,dariusk/corpora sports
Rope,sports,,dariusk/corpora sports
Roping,sports,,dariusk/corpora sports
Rossall Hockey,sports,,dariusk/corpora sports
Rotation,sports,,dariusk/corpora sports
Rounders,sports,,dariusk/corpora sports
Rowing,sports,,dariusk/corpora sports
Royal Shrovetide Football,sports,,dariusk/corpora sports
Rugby Fives,sports,,dariusk/corpora sports
Rugby Football,sports,,dariusk/corpora sports
Rugby League Nines,sports,,dariusk/corpora sports
Rugby League Sevens,sports,,dariusk/corpora sports
Rugby League,sports,,dariusk/corpora sports
Rugby Sevens,sports,,dariusk/corpora sports
Rugby Tens,sports,,dariusk/corpora sports
Rugby Union,sports,,dariusk/corpora sports
Running,sports,,dariusk/corpora sports
Russian Pyramid,sports,,dariusk/corpora sports
Sack Race,sports,,dariusk/corpora sports
Saddle Bronc Riding,sports,,dariusk/corpora sports
Sailing,sports,,dariusk/corpora sports
Samoa Rules,sports,,dariusk/corpora sports
Sandboarding,sports,,dariusk/corpora sports
Sanshou,sports,,dariusk/corpora sports
Savate,sports,,dariusk/corpora sports
Schwingen,sports,,dariusk/corpora sports
Scootering,sports,,dariusk/corpora sports
Scrabble,sports,,dariusk/corpora sports
Scrub Baseball,sports,,dariusk/corpora sports
Scuba Diving,sports,,dariusk/corpora sports
Sea Kayaking,sports,,dariusk/corpora sports
Segway Polo,sports,,dariusk/corpora sports
Sepak Takraw,sports,,dariusk/corpora sports
Seven-Ball,sports,,dariusk/corpora sports
Shaolin Kung Fu,sports,,dariusk/corpora sports
ShidŌKan Karate,sports,,dariusk/corpora sports
Shinty,sports,,dariusk/corpora sports
Shogi,sports,,dariusk/corpora sports
Shoot Boxing,sports,,dariusk/corpora sports
Shootfighting,sports,,dariusk/corpora sports
Shooting,sports,,dariusk/corpora sports
Shorinji Kempo,sports,,dariusk/corpora sports
Short Track Motor Racing,sports,,dariusk/corpora sports
Shot Put,sports,,dariusk/corpora sports
Shotgun Start,sports,,dariusk/corpora sports
Show Jumping,sports,,dariusk/corpora sports
Shuai Jiao,sports,,dariusk/corpora sports
Shuffleboard,sports,,dariusk/corpora sports
Shurikenjutsu,sports,,dariusk/corpora sports
ShŌRin-RyŪ ShidŌKan,sports,,dariusk/corpora sports
Sikaran,sports,,dariusk/corpora sports
Silambam,sports,,dariusk/corpora sports
Silat,sports,,dariusk/corpora sports
Single Scull,sports,,dariusk/corpora sports
Single Skating,sports,,dariusk/corpora sports
Sinuca Brasileira,sports,,dariusk/corpora sports
Sipa,sports,,dariusk/corpora sports
Six-Man Football,sports,,dariusk/corpora sports
Six-Red Snooker,sports,,dariusk/corpora sports
Skateboarding,sports,,dariusk/corpora sports
Skater Hockey,sports,,dariusk/corpora sports
Skee Ball,sports,,dariusk/corpora sports
Skeet Shooting,sports,,dariusk/corpora sports
Skeleton,sports,,dariusk/corpora sports
Ski Flying,sports,,dariusk/corpora sports
Ski Jumping,sports,,dariusk/corpora sports
Ski Touring,sports,,dariusk/corpora sports
Skiboarding,sports,,dariusk/corpora sports
Skibob,sports,,dariusk/corpora sports
Skibobbing,sports,,dariusk/corpora sports
Skiing,sports,,dariusk/corpora sports
Skijoring,sports,,dariusk/corpora sports
Skimboarding,sports,,dariusk/corpora sports
Skins Game,sports,,dariusk/corpora sports
Skirmish,sports,,dariusk/corpora sports
Skittles,sports,,dariusk/corpora sports
Skydiving,sports,,dariusk/corpora sports
Skyrunning,sports,,dariusk/corpora sports
Skysurfing,sports,,dariusk/corpora sports
Slacklining,sports,,dariusk/corpora sports
Slamball,sports,,dariusk/corpora sports
Sledge Hockey,sports,,dariusk/corpora sports
Slot Car Racing,sports,,dariusk/corpora sports
Slow Pitch,sports,,dariusk/corpora sports
Snooker Plus,sports,,dariusk/corpora sports
Snooker,sports,,dariusk/corpora sports
Snorkelling,sports,,dariusk/corpora sports
Snow Kiting,sports,,dariusk/corpora sports
Snow Rugby,sports,,dariusk/corpora sports
Snow Sports,sports,,dariusk/corpora sports
Snowboarding,sports,,dariusk/corpora sports
Snowkiting,sports,,dariusk/corpora sports
Snowmobile Racing,sports,,dariusk/corpora sports
Snowshoe Running,sports,,dariusk/corpora sports
Soap Shoes,sports,,dariusk/corpora sports
Soft Tennis,sports,,dariusk/corpora sports
Softball,sports,,dariusk/corpora sports
Spearfishing,sports,,dariusk/corpora sports
Speed Golf,sports,,dariusk/corpora sports
Speed Pool,sports,,dariusk/corpora sports
Speed Skiing,sports,,dariusk/corpora sports
Speed-Ball,sports,,dariusk/corpora sports
Speedball,sports,,dariusk/corpora sports
Speedminton,sports,,dariusk/corpora sports
Spongee,sports,,dariusk/corpora sports
Sport Climbing,sports,,dariusk/corpora sports
Sport Diving,sports,,dariusk/corpora sports
Sport Fishing,sports,,dariusk/corpora sports
Sport Kite,sports,,dariusk/corpora sports
Sport Stacking,sports,,dariusk/corpora sports
Sporting Clays,sports,,dariusk/corpora sports
Sports Car Racing,sports,,dariusk/corpora sports
Sprint Car Racing,sports,,dariusk/corpora sports
Sprint Football,sports,,dariusk/corpora sports
Sprint,sports,,dariusk/corpora sports
Squash Tennis,sports,,dariusk/corpora sports
Squash,sports,,dariusk/corpora sports
Squirt Boating,sports,,dariusk/corpora sports
Ssireum,sports,,dariusk/corpora sports
Stacking,sports,,dariusk/corpora sports
Stand Up Paddle Boarding,sports,,dariusk/corpora sports
Static Trapeze,sports,,dariusk/corpora sports
Steeplechase,sports,,dariusk/corpora sports
Steer Roping,sports,,dariusk/corpora sports
Steer Wrestling,sports,,dariusk/corpora sports
Steinstossen,sports,,dariusk/corpora sports
Stick And Ball Games,sports,,dariusk/corpora sports
Stickball,sports,,dariusk/corpora sports
StickÉ,sports,,dariusk/corpora sports
Stihl Timbersports Series,sports,,dariusk/corpora sports
Still Rings,sports,,dariusk/corpora sports
Stock Car Racing,sports,,dariusk/corpora sports
Stool Ball,sports,,dariusk/corpora sports
Straight Pool,sports,,dariusk/corpora sports
Street Football,sports,,dariusk/corpora sports
Street Hockey,sports,,dariusk/corpora sports
Street Racing,sports,,dariusk/corpora sports
Street Sports,sports,,dariusk/corpora sports
Street Unicycling,sports,,dariusk/corpora sports
Street Workout,sports,,dariusk/corpora sports
Streetball,sports,,dariusk/corpora sports
Streetboarding,sports,,dariusk/corpora sports
Streetluge,sports,,dariusk/corpora sports
Strength Athletics,sports,,dariusk/corpora sports
Striking,sports,,dariusk/corpora sports
Stroke Play,sports,,dariusk/corpora sports
Strongman,sports,,dariusk/corpora sports
Subak,sports,,dariusk/corpora sports
Subbuteo,sports,,dariusk/corpora sports
Sumo,sports,,dariusk/corpora sports
Superbike Racing,sports,,dariusk/corpora sports
Supercross,sports,,dariusk/corpora sports
Supermoto,sports,,dariusk/corpora sports
Superside,sports,,dariusk/corpora sports
Supersport Racing,sports,,dariusk/corpora sports
Sur-Papakh,sports,,dariusk/corpora sports
Surf Fishing,sports,,dariusk/corpora sports
Surf Kayaking,sports,,dariusk/corpora sports
Surface Finswimming,sports,,dariusk/corpora sports
Surfboat,sports,,dariusk/corpora sports
Surfing,sports,,dariusk/corpora sports
Swamp Football,sports,,dariusk/corpora sports
Swimming,sports,,dariusk/corpora sports
Sword Fighting,sports,,dariusk/corpora sports
Synchronized Swimming,sports,,dariusk/corpora sports
Systema,sports,,dariusk/corpora sports
SŌJutsu,sports,,dariusk/corpora sports
T'Ai Chi Ch'Uan,sports,,dariusk/corpora sports
Tt Racing,sports,,dariusk/corpora sports
Table Sports,sports,,dariusk/corpora sports
Table Football,sports,,dariusk/corpora sports
Table Hockey,sports,,dariusk/corpora sports
Table Tennis,sports,,dariusk/corpora sports
Taekkyeon,sports,,dariusk/corpora sports
Taekwondo,sports,,dariusk/corpora sports
Tag Games,sports,,dariusk/corpora sports
Tag Rugby,sports,,dariusk/corpora sports
Tag,sports,,dariusk/corpora sports
TaidŌ,sports,,dariusk/corpora sports
Tang Soo Do,sports,,dariusk/corpora sports
Target Archery,sports,,dariusk/corpora sports
Target Shooting,sports,,dariusk/corpora sports
Tchoukball,sports,,dariusk/corpora sports
Team Roping,sports,,dariusk/corpora sports
Team Handball,sports,,dariusk/corpora sports
Team Penning,sports,,dariusk/corpora sports
Team Play,sports,,dariusk/corpora sports
Tee-Ball,sports,,dariusk/corpora sports
Telemark Skiing,sports,,dariusk/corpora sports
Ten-Ball,sports,,dariusk/corpora sports
Tennikoit,sports,,dariusk/corpora sports
Tennis Polo,sports,,dariusk/corpora sports
Tennis,sports,,dariusk/corpora sports
Tent Pegging,sports,,dariusk/corpora sports
Test Cricket,sports,,dariusk/corpora sports
Tetherball,sports,,dariusk/corpora sports
Tetrathlon,sports,,dariusk/corpora sports
Three Sided Football,sports,,dariusk/corpora sports
Three-Ball,sports,,dariusk/corpora sports
Three-Cushion,sports,,dariusk/corpora sports
Three-Legged Race,sports,,dariusk/corpora sports
Throwball,sports,,dariusk/corpora sports
Throwing,sports,,dariusk/corpora sports
Thumb Wrestling,sports,,dariusk/corpora sports
Time Attack,sports,,dariusk/corpora sports
Toboggan,sports,,dariusk/corpora sports
Toe Wrestling,sports,,dariusk/corpora sports
Torball,sports,,dariusk/corpora sports
Touch Football,sports,,dariusk/corpora sports
Touch Rugby,sports,,dariusk/corpora sports
Touring Car Racing,sports,,dariusk/corpora sports
Tournament Of Knights,sports,,dariusk/corpora sports
Tower Running,sports,,dariusk/corpora sports
Town Ball,sports,,dariusk/corpora sports
Track Cycling,sports,,dariusk/corpora sports
Track Racing,sports,,dariusk/corpora sports
Tractor Pulling,sports,,dariusk/corpora sports
Traditional Climbing,sports,,dariusk/corpora sports
Trail Running,sports,,dariusk/corpora sports
Trampolining,sports,,dariusk/corpora sports
Trap Shooting,sports,,dariusk/corpora sports
Trapeze,sports,,dariusk/corpora sports
Trial,sports,,dariusk/corpora sports
Triathlon,sports,,dariusk/corpora sports
Trick Shot Competition,sports,,dariusk/corpora sports
Triple Jump,sports,,dariusk/corpora sports
Truck Racing,sports,,dariusk/corpora sports
Trugo,sports,,dariusk/corpora sports
Tug-O-War,sports,,dariusk/corpora sports
Tumbling,sports,,dariusk/corpora sports
Twenty20,sports,,dariusk/corpora sports
Ultimate,sports,,dariusk/corpora sports
Ultralight Aviation,sports,,dariusk/corpora sports
Ultramarathon,sports,,dariusk/corpora sports
Underwater Cycling,sports,,dariusk/corpora sports
Underwater Football,sports,,dariusk/corpora sports
Underwater Hockey,sports,,dariusk/corpora sports
Underwater Ice Hockey,sports,,dariusk/corpora sports
Underwater Orienteering,sports,,dariusk/corpora sports
Underwater Photography,sports,,dariusk/corpora sports
Underwater Rugby,sports,,dariusk/corpora sports
Underwater Target Shooting,sports,,dariusk/corpora sports
Underwater Wrestling,sports,,dariusk/corpora sports
Uneven Bars,sports,,dariusk/corpora sports
Unicycle Basketball,sports,,dariusk/corpora sports
Unicycle Hockey,sports,,dariusk/corpora sports
Unicycle Trials,sports,,dariusk/corpora sports
Unicycle,sports,,dariusk/corpora sports
Unicycling,sports,,dariusk/corpora sports
Universal Football,sports,,dariusk/corpora sports
Uppies And Downies,sports,,dariusk/corpora sports
Urban Golf,sports,,dariusk/corpora sports
Vajra-Mushti,sports,,dariusk/corpora sports
Vale Tudo,sports,,dariusk/corpora sports
Valencian FrontÓ,sports,,dariusk/corpora sports
Valencian Pilota,sports,,dariusk/corpora sports
Varzesh-E Pahlavani,sports,,dariusk/corpora sports
Vault,sports,,dariusk/corpora sports
Vigoro,sports,,dariusk/corpora sports
Vintage Racing,sports,,dariusk/corpora sports
Volata,sports,,dariusk/corpora sports
Volleyball,sports,,dariusk/corpora sports
Vovinam,sports,,dariusk/corpora sports
Wakeboarding,sports,,dariusk/corpora sports
Wakesurfing,sports,,dariusk/corpora sports
Walking,sports,,dariusk/corpora sports
Wall Game,sports,,dariusk/corpora sports
Wall-And-Ball,sports,,dariusk/corpora sports
Wallball,sports,,dariusk/corpora sports
Wallyball,sports,,dariusk/corpora sports
Water Basketball,sports,,dariusk/corpora sports
Water Polo,sports,,dariusk/corpora sports
Water Volleyball,sports,,dariusk/corpora sports
Waymarking,sports,,dariusk/corpora sports
Weightlifting,sports,,dariusk/corpora sports
Western Pleasure,sports,,dariusk/corpora sports
Wheelchair Basketball,sports,,dariusk/corpora sports
Wheelchair Racing,sports,,dariusk/corpora sports
Wheelchair Rugby League,sports,,dariusk/corpora sports
Wheelstand Competition,sports,,dariusk/corpora sports
White Water Rafting,sports,,dariusk/corpora sports
Whitewater Kayaking,sports,,dariusk/corpora sports
Wife-Carrying,sports,,dariusk/corpora sports
Wiffleball,sports,,dariusk/corpora sports
Windsurfing,sports,,dariusk/corpora sports
Wing Chun,sports,,dariusk/corpora sports
Wingsuit Flying,sports,,dariusk/corpora sports
Wireball,sports,,dariusk/corpora sports
Woggabaliri,sports,,dariusk/corpora sports
Wolf Hunting,sports,,dariusk/corpora sports
Women'S Lacrosse,sports,,dariusk/corpora sports
Wood Chopping,sports,,dariusk/corpora sports
Wood Splitting,sports,,dariusk/corpora sports
Woodball,sports,,dariusk/corpora sports
Woodsman,sports,,dariusk/corpora sports
Wrestling,sports,,dariusk/corpora sports
Wushu,sports,,dariusk/corpora sports
Xare,sports,,dariusk/corpora sports
Xiangqi,sports,,dariusk/corpora sports
Xing Yi Quan,sports,,dariusk/corpora sports
Yak Polo,sports,,dariusk/corpora sports
YaĞLI GÜReŞ,sports,,dariusk/corpora sports
Yoyoing,sports,,dariusk/corpora sports
Yubi Lakpi,sports,,dariusk/corpora sports
Yukigassen,sports,,dariusk/corpora sports
Zen Bu Kan Kempo,sports,,dariusk/corpora sports
Zourkhaneh,sports,,dariusk/corpora sports
Coffee,food,,dariusk/corpora food
Olives,food,,dariusk/corpora food
Celery,food,,dariusk/corpora food
Tea,food,,dariusk/corpora food
Radishes,food,,dariusk/corpora food
Mashed Potatoes,food,,dariusk/corpora food
Boiled Potatoes,food,,dariusk/corpora food
Fruit,food,,dariusk/corpora food
Milk,food,,dariusk/corpora food
Chicken Salad,food,,dariusk/corpora food
Vanilla Ice Cream,food,,dariusk/corpora food
Cocoa,food,,dariusk/corpora food
Cheese,food,,dariusk/corpora food
Lettuce Salad,food,,dariusk/corpora food
Lobster Salad,food,,dariusk/corpora food
Chocolate,food,,dariusk/corpora food
String Beans,food,,dariusk/corpora food
Apple Pie,food,,dariusk/corpora food
Sardines,food,,dariusk/corpora food
Oranges,food,,dariusk/corpora food
American Cheese,food,,dariusk/corpora food
Green Peas,food,,dariusk/corpora food
Assorted Cakes,food,,dariusk/corpora food
Apollinaris,food,,dariusk/corpora food
French Fried Potatoes,food,,dariusk/corpora food
Potato Salad,food,,dariusk/corpora food
Baked Potatoes,food,,dariusk/corpora food
Stewed Prunes,food,,dariusk/corpora food
Roquefort,food,,dariusk/corpora food
Ham,food,,dariusk/corpora food
Roast Beef,food,,dariusk/corpora food
Apples,food,,dariusk/corpora food
Chocolate Ice Cream,food,,dariusk/corpora food
Stewed Tomatoes,food,,dariusk/corpora food
Bananas,food,,dariusk/corpora food
Sliced Tomatoes,food,,dariusk/corpora food
Lima Beans,food,,dariusk/corpora food
Camembert,food,,dariusk/corpora food
Roquefort Cheese,food,,dariusk/corpora food
Cigars,food,,dariusk/corpora food
Cucumbers,food,,dariusk/corpora food
Ice Cream,food,,dariusk/corpora food
Edam Cheese,food,,dariusk/corpora food
Little Neck Clams,food,,dariusk/corpora food
Swiss Cheese,food,,dariusk/corpora food
Demi Tasse,food,,dariusk/corpora food
Tomato Juice,food,,dariusk/corpora food
Crackers,food,,dariusk/corpora food
Spinach,food,,dariusk/corpora food
Cream Cheese,food,,dariusk/corpora food
Assorted Cake,food,,dariusk/corpora food
Cafe,food,,dariusk/corpora food
Lettuce,food,,dariusk/corpora food
Raisins,food,,dariusk/corpora food
Sirloin Steak,food,,dariusk/corpora food
Cauliflower,food,,dariusk/corpora food
Grapes,food,,dariusk/corpora food
Blue Points,food,,dariusk/corpora food
Cup Custard,food,,dariusk/corpora food
Petits Fours,food,,dariusk/corpora food
Ripe Olives,food,,dariusk/corpora food
Orange,food,,dariusk/corpora food
French Peas,food,,dariusk/corpora food
Consomme,food,,dariusk/corpora food
Fruits,food,,dariusk/corpora food
Buttermilk,food,,dariusk/corpora food
Tomato Salad,food,,dariusk/corpora food
Biscuit Tortoni,food,,dariusk/corpora food
Boiled Rice,food,,dariusk/corpora food
Kaffee,food,,dariusk/corpora food
Iced Tea,food,,dariusk/corpora food
Corned Beef,food,,dariusk/corpora food
Succotash,food,,dariusk/corpora food
Charlotte Russe,food,,dariusk/corpora food
Lobster Cocktail,food,,dariusk/corpora food
Cucumber Salad,food,,dariusk/corpora food
Salted Almonds,food,,dariusk/corpora food
Dessert,food,,dariusk/corpora food
Benedictine,food,,dariusk/corpora food
Cigarettes,food,,dariusk/corpora food
Brussels Sprouts,food,,dariusk/corpora food
Romaine Salad,food,,dariusk/corpora food
Lyonnaise Potatoes,food,,dariusk/corpora food
Marmalade,food,,dariusk/corpora food
Dry Toast,food,,dariusk/corpora food
Grape Fruit,food,,dariusk/corpora food
Apple Sauce,food,,dariusk/corpora food
Tongue,food,,dariusk/corpora food
Camembert Cheese,food,,dariusk/corpora food
Bread And Butter,food,,dariusk/corpora food
Queen Olives,food,,dariusk/corpora food
Little Necks,food,,dariusk/corpora food
Chow Chow,food,,dariusk/corpora food
Chicken,food,,dariusk/corpora food
Cold Roast Beef,food,,dariusk/corpora food
Milk Toast,food,,dariusk/corpora food
Watermelon,food,,dariusk/corpora food
Macaroons,food,,dariusk/corpora food
Lettuce And Tomato Salad,food,,dariusk/corpora food
Fried Egg Plant,food,,dariusk/corpora food
Shrimp Cocktail,food,,dariusk/corpora food
Club Sandwich,food,,dariusk/corpora food
Pears,food,,dariusk/corpora food
Chicken Sandwich,food,,dariusk/corpora food
Broiled Ham,food,,dariusk/corpora food
Baked Apple,food,,dariusk/corpora food
Ham Sandwich,food,,dariusk/corpora food
Strawberry Ice Cream,food,,dariusk/corpora food
Mutton Chops,food,,dariusk/corpora food
Lamb Chops,food,,dariusk/corpora food
Corned Beef Hash,food,,dariusk/corpora food
Brie,food,,dariusk/corpora food
Creme De Menthe,food,,dariusk/corpora food
Cafe Noir,food,,dariusk/corpora food
French Pastry,food,,dariusk/corpora food
Sweet Pickles,food,,dariusk/corpora food
Cold Ham,food,,dariusk/corpora food
Mince Pie,food,,dariusk/corpora food
Coffee Ice Cream,food,,dariusk/corpora food
Roman Punch,food,,dariusk/corpora food
Smoked Salmon,food,,dariusk/corpora food
Peach Melba,food,,dariusk/corpora food
Welsh Rarebit,food,,dariusk/corpora food
Fruit Salad,food,,dariusk/corpora food
Shrimp Salad,food,,dariusk/corpora food
Stewed Corn,food,,dariusk/corpora food
Asparagus,food,,dariusk/corpora food
Tenderloin Steak,food,,dariusk/corpora food
Ham And Eggs,food,,dariusk/corpora food
Scrambled Eggs,food,,dariusk/corpora food
Fried Potatoes,food,,dariusk/corpora food
Sauterne,food,,dariusk/corpora food
Pumpkin Pie,food,,dariusk/corpora food
Orange Juice,food,,dariusk/corpora food
Fried Eggs,food,,dariusk/corpora food
Iced Coffee,food,,dariusk/corpora food
White Rock,food,,dariusk/corpora food
Rice Pudding,food,,dariusk/corpora food
Pear,food,,dariusk/corpora food
Boiled Eggs,food,,dariusk/corpora food
Escarole Salad,food,,dariusk/corpora food
Baked Apple With Cream,food,,dariusk/corpora food
Oatmeal,food,,dariusk/corpora food
Cherrystones,food,,dariusk/corpora food
Nuts,food,,dariusk/corpora food
Chicory Salad,food,,dariusk/corpora food
Salad,food,,dariusk/corpora food
Peach Pie,food,,dariusk/corpora food
Maraschino,food,,dariusk/corpora food
Cafe Parfait,food,,dariusk/corpora food
Half Grapefruit,food,,dariusk/corpora food
Buttered Toast,food,,dariusk/corpora food
Green Olives,food,,dariusk/corpora food
Caviar,food,,dariusk/corpora food
Sanka,food,,dariusk/corpora food
Neapolitan Ice Cream,food,,dariusk/corpora food
Edam,food,,dariusk/corpora food
Squab,food,,dariusk/corpora food
Figs,food,,dariusk/corpora food
Turkish Coffee,food,,dariusk/corpora food
Cream Toast,food,,dariusk/corpora food
Clam Chowder,food,,dariusk/corpora food
Beets,food,,dariusk/corpora food
Cantaloupe,food,,dariusk/corpora food
Nesselrode Pudding,food,,dariusk/corpora food
Blue Point Oysters,food,,dariusk/corpora food
Gorgonzola,food,,dariusk/corpora food
New String Beans,food,,dariusk/corpora food
Bacon And Eggs,food,,dariusk/corpora food
Stuffed Olives,food,,dariusk/corpora food
Artichoke,food,,dariusk/corpora food
Combination Salad,food,,dariusk/corpora food
Tongue Sandwich,food,,dariusk/corpora food
Oyster Cocktail,food,,dariusk/corpora food
Ginger Ale,food,,dariusk/corpora food
Orange Marmalade,food,,dariusk/corpora food
Sliced Cucumbers,food,,dariusk/corpora food
Tomatoes,food,,dariusk/corpora food
Grapefruit,food,,dariusk/corpora food
Cape Cods,food,,dariusk/corpora food
Anchovies,food,,dariusk/corpora food
Pickles,food,,dariusk/corpora food
Lemonade,food,,dariusk/corpora food
Turkey,food,,dariusk/corpora food
Gherkins,food,,dariusk/corpora food
Cold Slaw,food,,dariusk/corpora food
Lamb,food,,dariusk/corpora food
Gruyere,food,,dariusk/corpora food
Neufchatel,food,,dariusk/corpora food
Orange Water Ice,food,,dariusk/corpora food
Cocktail Sauce,food,,dariusk/corpora food
Toast,food,,dariusk/corpora food
Rolls,food,,dariusk/corpora food
Oyster Stew,food,,dariusk/corpora food
Liqueurs,food,,dariusk/corpora food
Postum,food,,dariusk/corpora food
Lemon Water Ice,food,,dariusk/corpora food
Hominy,food,,dariusk/corpora food
Almonds,food,,dariusk/corpora food
Pound Cake,food,,dariusk/corpora food
Fried Sweet Potatoes,food,,dariusk/corpora food
Saratoga Chips,food,,dariusk/corpora food
Celery Salad,food,,dariusk/corpora food
Cherrystone Clams,food,,dariusk/corpora food
New Peas,food,,dariusk/corpora food
Golden Buck,food,,dariusk/corpora food
Grapefruit Juice,food,,dariusk/corpora food
Chicken Broth,food,,dariusk/corpora food
Gorgonzola Cheese,food,,dariusk/corpora food
Waldorf Salad,food,,dariusk/corpora food
Sherry,food,,dariusk/corpora food
Plums,food,,dariusk/corpora food
Pork Chops,food,,dariusk/corpora food
Fruit Cocktail,food,,dariusk/corpora food
Sweet Potatoes,food,,dariusk/corpora food
French Coffee,food,,dariusk/corpora food
Salted Nuts,food,,dariusk/corpora food
Pickled Beets,food,,dariusk/corpora food
Thee,food,,dariusk/corpora food
Creamed Spinach,food,,dariusk/corpora food
Saute Potatoes,food,,dariusk/corpora food
Radis,food,,dariusk/corpora food
Small Steak,food,,dariusk/corpora food
Hot Rolls,food,,dariusk/corpora food
Cakes,food,,dariusk/corpora food
Meringue Glacee,food,,dariusk/corpora food
Johannis,food,,dariusk/corpora food
Cold Corned Beef,food,,dariusk/corpora food
Russian Dressing,food,,dariusk/corpora food
Port,food,,dariusk/corpora food
Tomato,food,,dariusk/corpora food
Chiffonade Salad,food,,dariusk/corpora food
Anisette,food,,dariusk/corpora food
Mashed Turnips,food,,dariusk/corpora food
Pontet Canet,food,,dariusk/corpora food
Clam Broth,food,,dariusk/corpora food
Liederkranz Cheese,food,,dariusk/corpora food
Green Apple Pie,food,,dariusk/corpora food
Cake,food,,dariusk/corpora food
French Dressing,food,,dariusk/corpora food
Calf'S Liver And Bacon,food,,dariusk/corpora food
Cream,food,,dariusk/corpora food
Virginia Ham,food,,dariusk/corpora food
New Lima Beans,food,,dariusk/corpora food
Watercress,food,,dariusk/corpora food
Brie Cheese,food,,dariusk/corpora food
Candied Sweet Potatoes,food,,dariusk/corpora food
Sardine Sandwich,food,,dariusk/corpora food
Neufchatel Cheese,food,,dariusk/corpora food
Lynnhavens,food,,dariusk/corpora food
Green Corn,food,,dariusk/corpora food
Amontillado,food,,dariusk/corpora food
Watercress Salad,food,,dariusk/corpora food
Crab Flake Cocktail,food,,dariusk/corpora food
Malaga Grapes,food,,dariusk/corpora food
Poached Eggs On Toast,food,,dariusk/corpora food
Buckwheat Cakes,food,,dariusk/corpora food
Shirred Eggs,food,,dariusk/corpora food
Raspberry Water Ice,food,,dariusk/corpora food
Roast Chicken,food,,dariusk/corpora food
Lady Fingers,food,,dariusk/corpora food
Squab Chicken,food,,dariusk/corpora food
Plover,food,,dariusk/corpora food
Macaroni Au Gratin,food,,dariusk/corpora food
Strawberries And Cream,food,,dariusk/corpora food
St. Julien,food,,dariusk/corpora food
Niersteiner,food,,dariusk/corpora food
Manhattan,food,,dariusk/corpora food
Pineapple Juice,food,,dariusk/corpora food
Tomato Juice Cocktail,food,,dariusk/corpora food
Potatoes Au Gratin,food,,dariusk/corpora food
Congress Water,food,,dariusk/corpora food
Currant Jelly,food,,dariusk/corpora food
Graham Bread,food,,dariusk/corpora food
Fresh Fruit,food,,dariusk/corpora food
Apple,food,,dariusk/corpora food
Green Turtle Soup,food,,dariusk/corpora food
Salt Mackerel,food,,dariusk/corpora food
Cucumber,food,,dariusk/corpora food
Chartreuse,food,,dariusk/corpora food
Absinthe,food,,dariusk/corpora food
Beluga Caviar,food,,dariusk/corpora food
Stuffed Celery,food,,dariusk/corpora food
Curacao,food,,dariusk/corpora food
Dill Pickles,food,,dariusk/corpora food
Pineapple,food,,dariusk/corpora food
Pickled Walnuts,food,,dariusk/corpora food
Mixed Grill,food,,dariusk/corpora food
Preserves,food,,dariusk/corpora food
Martini,food,,dariusk/corpora food
Plain Omelette,food,,dariusk/corpora food
Tomato Soup,food,,dariusk/corpora food
Mallard Duck,food,,dariusk/corpora food
Roast Mutton,food,,dariusk/corpora food
Baked Sweet Potatoes,food,,dariusk/corpora food
Kummel,food,,dariusk/corpora food
New Green Peas,food,,dariusk/corpora food
Ceylon Tea,food,,dariusk/corpora food
Clam Juice Cocktail,food,,dariusk/corpora food
Vermouth,food,,dariusk/corpora food
Pommard,food,,dariusk/corpora food
Biscuit Glace,food,,dariusk/corpora food
Broiled Bacon,food,,dariusk/corpora food
Hamburger Steak,food,,dariusk/corpora food
Hashed Browned Potatoes,food,,dariusk/corpora food
Lobster,food,,dariusk/corpora food
